Unnamed: 0,dm_1,foto_1,straaling_1,temp_1,lai_1,meldug_1,lai_0,dm_2,foto_2,straaling_2,temp_2,lai_2,meldug_2,dm_3,foto_3,straaling_3,temp_3,lai_3,meldug_3,dm_4,foto_4,straaling_4,temp_4,lai_4,meldug_4,mikro_1,middel_1,mikro_2,middel_2,mikro_3,middel_3,nedboer_1,nedboer_2,nedboer_3,udbytte
166,1,1,0,2,3,2,2,15,0,0,0,3,4,12,17,2,0,2,3,40,2,1,0,0,0,1,0,3,0,1,3,1,0,1,37
167,8,6,1,1,3,2,2,15,3,2,2,1,2,20,1,1,2,1,0,6,1,1,0,0,0,2,1,3,3,1,3,1,0,1,5
168,8,6,0,3,3,0,3,12,0,2,2,3,0,41,1,1,0,1,0,6,12,1,1,0,0,1,0,2,0,3,2,1,0,2,5
169,16,4,1,1,1,1,3,3,7,3,1,1,2,13,7,2,0,1,0,34,0,0,0,0,0,1,1,0,2,0,3,2,1,0,39
170,11,5,1,1,2,4,4,8,2,0,0,4,0,2,0,0,1,0,0,6,2,1,1,0,0,2,2,1,1,0,0,2,1,2,5
171,1,0,1,1,4,7,2,14,5,2,0,4,0,21,1,2,2,0,0,33,2,0,0,0,0,0,0,0,2,3,2,0,2,2,31
172,4,3,2,2,0,7,4,15,9,2,0,4,0,2,15,1,0,0,2,42,16,2,1,0,0,0,2,1,1,0,3,0,1,2,30
173,8,6,2,1,1,7,4,0,9,2,0,1,0,18,1,1,0,1,0,33,1,0,1,0,0,2,0,1,3,0,0,1,1,2,31
174,9,5,1,1,2,5,0,1,4,0,0,2,1,41,2,1,2,1,0,25,2,2,0,0,0,2,2,3,0,3,3,1,0,2,3
175,5,4,0,0,3,3,1,17,4,0,1,3,0,31,2,2,0,2,0,4,5,0,2,0,0,2,1,0,3,3,0,2,1,1,3
176,9,6,1,3,1,3,1,19,2,2,1,3,5,36,4,1,1,2,0,8,0,1,1,0,0,1,1,0,0,1,3,0,2,2,7
177,16,4,0,1,5,2,1,25,1,0,3,5,2,52,12,1,2,4,0,35,10,1,1,2,0,3,0,2,3,2,0,2,1,0,36
178,1,0,1,1,2,7,4,5,5,2,2,2,0,46,10,0,2,0,0,26,4,0,1,0,0,3,1,0,0,2,1,0,2,2,46
179,17,10,2,1,3,6,0,29,4,2,0,5,8,53,21,2,0,4,5,55,9,1,0,2,7,0,3,0,1,0,2,0,2,0,16
180,2,0,0,1,2,8,2,15,4,0,0,2,0,6,5,0,2,0,0,32,4,0,2,0,0,1,2,1,1,1,0,1,2,1,0
181,8,6,1,3,0,8,2,6,3,2,2,4,2,6,0,0,1,1,5,29,4,1,0,0,5,2,3,0,1,0,3,2,2,0,9
182,5,4,1,2,0,3,2,0,5,0,3,4,2,17,11,1,2,3,0,37,14,0,2,1,0,0,3,1,0,0,2,0,1,0,29
183,9,5,1,1,2,1,2,1,4,0,2,1,0,12,3,1,0,2,2,21,0,0,0,0,3,1,2,1,1,0,2,1,2,2,17
184,8,5,1,1,3,6,2,1,4,0,1,3,2,31,2,3,0,2,0,56,9,0,1,2,0,0,1,0,0,0,1,0,2,0,48
185,11,4,0,0,3,0,3,8,2,2,3,3,0,7,7,1,2,2,0,43,8,1,2,2,0,2,0,2,0,3,2,1,0,1,37
186,11,4,1,3,0,8,2,15,2,0,2,0,0,45,10,0,0,6,0,9,7,0,1,1,0,1,0,1,2,3,2,1,1,2,49
187,9,6,1,1,3,1,3,19,4,2,2,3,2,41,4,1,2,2,0,1,0,0,1,0,0,2,1,3,1,3,1,1,0,2,1
188,10,3,2,1,1,2,2,0,3,2,1,1,3,20,2,1,2,1,2,3,12,1,1,0,0,1,2,0,0,2,0,2,1,0,12
189,5,4,1,1,1,1,1,15,2,2,1,3,8,3,0,0,0,2,5,3,2,1,1,0,0,2,3,0,0,0,0,1,2,2,12
190,1,0,0,1,1,2,2,0,4,0,0,3,3,20,2,1,2,2,0,54,1,2,0,0,0,0,1,0,2,2,1,0,1,0,47
191,6,2,0,0,0,4,2,9,6,3,3,2,0,46,15,0,0,1,0,34,4,1,0,0,0,2,0,1,1,3,0,2,2,2,25
192,5,4,1,0,1,7,1,8,4,0,2,1,0,25,1,1,0,1,0,2,0,1,0,0,0,2,0,0,0,3,3,2,1,1,4
193,7,1,1,1,1,2,2,14,3,2,1,1,1,29,11,3,0,1,0,7,2,1,0,0,0,1,0,1,2,1,1,1,1,2,6
194,11,5,1,0,3,8,3,17,4,2,0,5,0,7,15,0,2,2,0,33,1,2,2,0,0,2,0,2,2,2,3,1,0,0,31
195,1,0,1,1,4,4,2,27,9,2,0,0,0,45,0,0,0,3,0,37,12,0,0,1,0,0,2,1,2,1,1,0,1,2,44
196,1,0,0,0,3,5,3,12,1,0,3,3,0,7,7,1,1,2,0,38,9,0,1,2,0,0,0,1,3,0,0,2,1,2,33
197,5,4,1,1,2,1,2,15,2,2,3,2,4,8,3,1,1,1,2,6,0,0,2,0,0,1,3,1,0,0,3,1,2,2,5
198,16,4,1,0,2,0,4,27,9,2,0,2,1,0,7,2,1,0,0,16,1,1,1,0,0,2,3,3,3,1,0,2,0,2,15
199,7,1,0,3,2,2,2,6,2,3,2,3,8,20,2,0,0,2,5,18,3,1,0,0,0,1,3,2,0,0,0,1,0,0,18
200,4,10,2,1,1,7,1,12,2,2,0,3,0,16,9,0,1,2,0,38,1,0,0,0,1,2,3,1,3,1,2,1,2,1,33
201,11,4,1,1,3,0,3,12,0,0,0,5,8,12,3,1,2,4,3,48,10,1,2,2,0,1,3,3,2,1,1,1,1,2,45
202,6,0,3,2,0,3,2,6,2,0,2,1,7,54,14,0,1,5,8,57,9,0,2,2,3,1,3,2,1,1,0,1,0,2,50
203,5,4,1,2,1,4,1,17,4,0,1,3,5,12,3,0,0,2,0,51,2,1,1,0,0,3,3,0,3,0,2,0,2,0,40
204,2,1,0,1,3,5,1,0,2,2,3,3,0,2,7,0,2,2,0,2,0,1,2,0,0,0,2,2,3,2,2,0,1,0,2
205,5,5,1,1,3,2,4,8,5,3,3,3,5,1,3,0,1,2,0,1,2,1,0,0,0,3,0,2,3,0,2,0,1,2,1
206,5,4,1,1,2,5,4,12,0,0,2,4,5,21,11,1,0,0,5,3,0,2,0,0,1,2,0,2,1,1,3,1,0,1,2
207,2,0,0,1,2,0,4,8,4,0,2,2,5,21,0,1,1,0,0,10,4,0,0,0,0,3,0,0,0,1,1,0,2,2,12
208,6,0,1,1,0,0,2,5,5,0,1,4,0,0,15,0,2,1,0,2,5,1,0,0,0,2,1,0,0,1,2,2,2,1,4
209,1,1,1,0,2,5,2,6,2,0,2,1,7,5,5,3,0,1,5,10,5,1,2,0,6,2,3,1,2,0,2,1,1,2,12
210,16,4,1,2,2,7,2,12,0,0,2,1,0,31,1,1,1,1,0,13,0,0,2,0,0,3,0,1,3,1,3,0,2,1,17
211,7,1,1,1,2,4,4,0,2,0,0,4,0,18,7,0,0,0,0,6,1,1,0,0,0,2,2,2,3,1,1,2,0,1,5
212,14,8,3,0,2,1,4,7,5,0,0,2,1,46,15,1,2,1,0,31,6,0,2,0,0,0,0,1,3,2,0,0,1,0,29
213,9,5,1,1,1,0,1,12,4,2,2,3,4,15,1,1,2,2,0,4,5,1,0,0,0,2,3,2,2,1,2,0,1,2,3
214,1,0,1,1,0,1,2,23,6,2,0,0,1,5,7,1,1,3,0,58,14,1,1,1,0,2,1,0,3,1,0,0,1,1,49
215,19,10,2,3,0,8,2,12,3,2,2,4,0,17,10,0,1,3,0,31,14,2,0,1,0,1,2,1,2,0,0,2,2,0,22
216,10,6,1,3,1,3,3,24,0,1,0,1,1,12,1,1,2,1,0,43,2,1,0,0,0,1,1,2,0,1,1,1,1,2,37
217,7,0,0,1,0,5,2,18,3,0,0,2,2,17,7,1,2,1,0,16,4,2,0,0,0,3,2,3,3,3,0,0,0,2,15
218,9,5,1,1,1,7,1,19,2,0,2,2,0,2,0,1,0,1,0,13,5,0,0,0,0,1,2,1,0,1,2,0,1,1,17
219,4,10,2,1,3,2,2,4,0,2,3,3,2,4,1,3,0,2,2,1,0,0,2,0,0,2,1,2,0,0,1,2,0,0,1
220,16,4,1,0,2,1,4,2,3,2,0,1,5,20,3,1,0,2,0,6,4,0,0,0,0,2,1,3,0,3,0,1,0,1,5
221,11,5,1,3,0,8,2,6,3,2,0,2,2,3,15,1,1,0,0,29,4,1,1,0,0,1,3,0,3,1,0,2,2,0,9
222,7,1,1,2,2,4,1,0,2,0,1,4,0,55,22,3,0,3,0,59,16,0,0,1,0,3,1,3,1,0,0,0,0,0,51
223,11,5,1,1,1,3,3,12,4,0,0,1,3,20,15,0,0,1,0,3,12,0,2,0,0,2,3,0,3,1,0,1,1,2,12
224,1,0,0,0,2,8,4,2,2,0,0,1,0,3,7,1,0,1,0,34,7,2,0,0,0,2,1,1,1,3,2,1,1,1,39
225,3,3,0,0,6,6,4,34,12,3,0,7,6,56,23,1,1,5,5,39,10,1,1,2,0,2,3,1,2,1,1,2,1,2,34
226,2,1,0,0,2,3,1,18,2,0,1,2,2,3,15,1,0,1,0,10,1,0,0,0,0,2,3,0,0,0,1,2,2,2,12
227,1,1,0,1,2,1,4,27,9,2,2,2,0,47,10,3,2,1,0,53,4,1,1,0,0,2,0,1,2,1,2,1,2,2,46
228,2,1,1,1,2,1,4,27,3,2,3,2,5,0,7,0,0,1,0,3,1,0,2,0,0,2,2,1,0,1,0,1,2,1,12
229,10,3,2,2,0,3,2,19,5,2,3,4,0,25,15,1,1,0,0,32,7,1,2,1,0,3,0,1,0,0,1,0,1,2,6
230,11,5,0,1,3,5,3,19,2,0,2,1,1,41,4,1,0,2,0,22,7,0,0,0,0,3,0,2,0,0,1,0,0,2,21
231,11,5,1,2,2,0,1,12,0,1,1,2,3,2,5,0,0,0,0,26,14,2,1,0,0,0,3,0,0,3,2,0,1,0,25
232,2,1,1,3,0,4,2,15,4,0,0,4,0,6,5,0,2,0,0,0,0,1,0,0,0,1,2,1,0,2,2,1,2,0,30
233,7,1,0,1,2,5,2,8,4,0,0,1,4,21,15,1,0,1,0,5,1,1,0,0,0,0,3,3,0,3,3,0,0,0,4
234,11,4,1,2,2,5,2,24,10,2,2,6,6,22,18,0,2,5,4,60,11,1,1,2,3,1,3,2,0,3,3,0,0,1,52
235,6,2,0,0,0,0,2,15,8,1,0,0,0,17,11,0,2,3,0,29,4,2,0,0,0,2,1,3,0,3,3,1,0,2,9
236,8,6,1,3,3,3,3,4,0,2,2,5,1,41,7,0,0,2,0,8,4,0,0,0,0,1,1,1,2,2,1,0,2,2,7
237,19,7,2,1,5,6,0,32,8,0,0,5,1,43,12,0,0,4,0,44,9,1,2,2,0,1,2,2,2,3,1,1,0,2,50
238,9,6,1,1,5,6,2,12,0,0,0,5,0,8,7,0,0,2,0,61,9,1,0,2,0,3,0,1,3,3,2,0,1,1,53
239,17,3,2,1,3,3,1,4,4,0,0,3,2,36,2,1,1,2,2,4,0,0,1,0,7,2,3,0,1,0,2,1,2,2,7
240,8,5,1,0,3,2,4,10,10,0,3,5,1,52,8,0,0,4,5,36,9,1,2,2,4,0,0,1,1,0,2,0,2,0,32
241,8,6,1,1,3,4,1,14,7,2,1,1,0,45,11,3,2,1,0,34,1,1,1,0,0,0,1,0,0,2,2,0,1,0,39
242,20,7,2,1,6,6,2,31,13,0,2,7,6,48,21,0,2,5,1,62,5,0,1,2,0,0,3,1,2,3,1,0,2,1,54
243,8,5,1,3,2,0,4,8,5,2,3,1,5,0,5,0,2,1,0,29,1,1,0,0,0,3,1,2,0,0,2,2,0,0,9
244,17,10,2,3,3,5,3,12,5,2,0,3,5,15,2,1,2,2,0,25,5,1,0,0,0,1,0,0,0,2,2,1,1,0,3
245,9,5,1,1,0,3,2,1,4,0,2,0,0,6,10,0,0,3,0,26,12,1,2,1,0,2,2,0,2,1,0,1,2,1,25
246,8,6,1,1,0,1,0,11,4,0,0,4,0,25,11,1,0,3,0,10,6,1,0,1,0,0,2,2,2,3,0,2,1,2,12
247,5,5,1,1,1,7,1,14,9,2,0,1,0,3,7,1,0,1,0,16,0,1,1,0,0,1,2,0,3,3,0,2,2,1,15
248,8,6,1,3,3,8,3,12,4,0,3,3,0,44,4,1,1,2,0,8,4,2,2,0,0,3,2,1,2,0,0,0,1,2,7
249,11,4,1,1,1,7,1,1,4,0,0,1,0,31,7,0,0,1,0,5,12,2,1,0,0,0,1,2,0,1,0,0,0,1,4
250,9,5,0,1,1,1,4,17,5,2,0,1,5,4,4,2,2,2,0,4,4,1,0,0,0,3,0,1,2,2,3,2,2,0,3
251,5,4,1,0,3,5,3,12,0,0,3,5,1,12,3,0,2,4,0,63,8,1,1,2,0,2,0,2,2,3,0,2,1,1,33
252,1,1,0,1,1,5,1,6,2,0,0,1,5,2,1,1,0,2,0,10,0,1,0,0,0,0,2,0,3,1,2,2,2,1,9
253,2,0,0,3,2,0,4,6,2,2,0,1,0,18,2,1,1,1,0,6,2,1,0,0,0,1,0,0,3,0,0,1,2,0,31
254,7,4,1,1,2,5,2,15,4,0,0,1,0,10,0,0,0,1,0,22,2,1,0,0,0,2,1,0,2,2,2,1,2,2,21
255,2,1,0,1,4,3,0,5,3,0,2,4,7,47,10,0,0,0,5,58,6,0,1,0,0,1,3,2,0,0,0,2,0,2,49
256,8,3,2,2,0,1,4,14,6,3,2,4,2,45,5,0,2,0,0,0,1,0,0,0,0,1,2,3,2,2,2,1,0,0,0
257,7,1,3,2,3,2,4,0,4,3,0,5,4,57,13,0,0,4,0,12,8,1,0,2,0,3,1,2,3,1,3,2,1,1,11
258,4,10,1,1,5,6,2,25,4,3,0,5,4,58,8,2,2,4,3,64,15,1,1,2,0,0,3,1,0,0,3,0,2,0,55
259,9,5,1,1,0,4,2,6,3,2,3,4,0,2,7,0,1,0,0,33,1,1,1,0,0,0,2,2,1,1,0,2,0,1,31
260,10,3,3,1,6,6,2,28,12,0,1,7,6,59,14,2,1,5,5,65,10,1,2,2,7,1,3,0,0,1,2,1,2,1,56
261,2,1,0,3,1,7,1,2,2,2,0,3,2,20,4,1,1,2,1,33,12,0,2,0,2,3,3,0,1,0,2,0,1,2,31
262,17,10,1,1,6,6,0,10,0,2,1,6,3,58,17,1,0,4,0,64,15,1,2,2,0,2,1,0,2,1,0,1,1,1,27
263,13,14,0,1,7,6,3,35,15,0,0,7,3,34,14,1,2,5,5,27,10,1,1,2,0,0,1,0,1,2,0,0,2,2,26
264,14,11,0,3,4,3,0,33,9,2,2,4,1,30,5,0,0,0,0,31,2,1,1,0,0,3,3,0,2,1,1,0,2,2,29
265,11,5,2,1,4,7,0,8,2,0,2,4,0,5,16,0,2,0,0,10,5,1,0,0,0,3,2,3,3,3,3,0,0,1,12
266,5,5,1,3,0,0,0,22,7,2,1,4,4,45,0,0,2,0,6,50,6,0,0,0,5,3,3,0,1,2,2,0,0,0,8
267,7,1,0,1,1,4,4,0,2,0,0,1,0,7,1,0,0,1,0,5,0,0,1,0,0,1,2,0,1,3,0,1,2,1,4
268,11,4,0,3,4,8,2,0,3,2,2,0,4,3,0,1,2,0,7,16,0,1,0,0,8,1,3,2,1,3,2,2,0,1,15
269,2,1,1,1,4,3,2,22,9,2,0,4,4,60,6,3,2,0,0,58,1,0,2,0,0,1,3,3,2,2,1,0,0,0,49
270,4,10,1,3,6,6,1,21,10,0,0,6,7,58,4,0,1,4,6,45,10,1,0,2,4,1,2,3,1,0,2,2,0,0,42
271,11,5,1,1,2,2,2,0,5,2,0,2,3,6,11,3,0,1,3,16,4,1,0,0,0,3,2,0,2,3,3,0,1,2,15
272,10,3,2,1,2,1,2,19,5,2,2,2,5,7,1,1,1,1,0,13,2,1,0,0,1,1,1,2,0,1,2,2,0,2,17
273,9,5,0,1,5,2,1,10,1,0,0,5,0,43,19,1,0,4,0,35,15,1,0,2,0,0,2,0,3,1,0,0,2,2,36
274,11,5,1,1,1,5,4,1,4,0,2,1,0,15,1,2,0,1,0,1,4,1,0,0,0,2,0,3,3,1,2,2,0,1,1
275,7,1,1,1,1,8,1,5,3,2,1,1,0,3,2,1,0,1,0,3,2,1,0,0,0,3,2,0,0,1,0,0,2,2,12
276,8,6,0,0,6,6,4,10,8,2,0,6,4,61,20,0,2,5,3,66,9,1,0,2,0,2,1,0,2,0,1,1,1,2,57
277,8,6,1,1,2,4,4,8,5,0,2,2,0,25,7,1,0,1,0,7,6,2,2,0,0,2,1,1,2,3,2,1,2,2,6
278,6,0,3,0,1,5,2,27,3,2,0,1,0,29,0,0,0,1,0,26,0,1,0,0,0,2,0,1,0,1,0,1,0,2,46
279,16,1,0,1,0,7,2,15,2,0,0,2,0,18,7,1,2,1,0,29,12,1,0,0,0,0,2,1,2,0,3,2,2,2,15
280,7,4,1,1,2,0,2,24,10,0,2,6,6,54,21,1,2,5,5,36,15,1,0,2,0,1,3,1,0,3,1,2,2,2,32
281,17,10,2,1,1,7,1,29,0,0,2,1,0,36,1,2,0,1,0,54,12,1,1,0,0,2,0,2,1,0,1,1,0,0,47
282,0,11,0,1,0,1,2,14,4,0,2,0,0,17,7,1,0,3,0,7,4,1,2,1,0,2,2,0,2,2,0,2,1,2,6
283,7,1,1,1,2,3,4,23,6,2,0,4,0,47,10,0,2,0,0,53,1,1,1,0,0,2,2,1,0,3,3,2,1,2,46
284,9,6,0,2,3,0,3,17,4,2,2,3,0,41,3,1,0,2,0,6,12,0,1,0,0,2,1,0,0,2,3,1,2,0,5
285,8,6,1,1,5,2,3,17,4,2,2,5,2,32,17,1,0,4,0,56,15,0,0,2,0,3,2,3,2,0,0,0,0,2,48
286,9,5,1,1,0,0,0,8,2,0,0,2,0,25,7,1,2,0,0,33,1,0,0,0,0,2,1,1,3,3,1,1,2,1,31
287,11,5,1,3,0,3,2,1,4,0,0,4,0,5,16,0,0,3,0,47,7,0,1,1,0,3,0,2,1,3,0,0,0,2,44
288,11,4,0,1,3,0,1,0,3,2,1,3,1,15,9,1,0,2,0,54,4,0,1,0,0,1,1,0,3,1,1,1,2,1,47
289,16,4,1,1,0,8,2,15,5,2,0,2,0,0,5,1,0,0,0,16,4,1,1,0,0,2,2,1,1,3,2,1,1,2,15
290,24,14,1,1,7,6,4,31,13,2,1,7,4,34,14,1,2,5,2,27,9,1,0,2,0,1,2,3,0,1,0,1,0,2,26
291,16,4,1,0,1,3,4,1,0,0,0,3,0,8,1,3,0,2,0,8,2,1,0,0,0,2,0,2,2,0,2,2,0,0,7
292,7,1,1,1,0,7,2,0,2,2,2,2,0,21,15,1,0,1,0,13,5,1,2,0,0,3,1,1,2,1,0,0,2,2,5
293,11,4,0,3,2,3,4,2,3,2,2,2,5,3,15,0,1,1,0,2,5,0,0,0,0,3,1,0,0,0,2,0,0,0,2
294,9,5,1,2,1,1,1,32,11,1,2,5,6,27,8,1,2,4,1,67,11,2,2,2,0,1,3,1,2,3,1,2,2,1,28
295,25,15,3,1,0,1,4,33,5,2,2,4,0,55,0,1,2,0,0,0,5,1,2,0,0,3,0,0,0,1,0,0,2,2,0
296,0,2,3,1,3,1,3,27,5,2,1,3,3,17,1,0,2,2,1,43,9,1,0,2,5,0,3,3,1,3,2,0,0,1,24
297,7,1,1,2,2,8,4,2,5,2,3,4,0,3,7,1,0,1,0,16,12,0,0,0,0,0,1,2,3,2,3,0,1,2,15
298,9,6,1,1,3,4,3,17,4,2,3,3,0,12,3,0,0,2,0,51,2,0,2,0,0,2,0,2,0,0,1,1,0,0,40
299,6,0,0,1,2,3,4,15,0,0,2,1,0,8,2,2,2,1,0,21,4,1,1,0,0,2,1,1,2,3,0,0,2,1,47
300,10,3,2,2,3,6,0,24,8,2,0,6,6,61,14,0,1,5,8,67,3,0,1,2,5,1,3,2,1,1,1,1,1,2,28
301,10,3,1,1,5,6,4,24,8,2,0,5,8,24,23,0,0,5,8,39,9,0,2,2,6,0,3,1,1,3,3,0,1,1,34
302,6,2,0,2,2,0,1,6,4,0,1,2,0,21,7,1,1,0,0,33,5,0,0,0,0,0,0,0,1,1,3,0,1,2,31
303,10,3,2,3,0,1,4,24,0,0,0,4,0,41,15,0,0,0,0,18,1,0,1,0,0,3,0,1,2,1,3,2,2,2,18
304,7,4,1,2,2,3,4,2,5,2,2,4,0,21,7,2,0,0,0,13,3,1,2,0,0,1,0,1,0,3,3,1,2,0,17
305,5,4,1,1,0,3,2,14,6,2,3,0,0,46,11,0,1,3,0,68,17,0,1,1,0,1,0,1,1,3,1,2,2,2,58
306,16,4,3,1,3,4,3,8,4,0,0,3,0,6,5,0,0,1,0,32,1,2,0,0,0,2,1,1,3,3,2,1,2,2,6
307,20,7,1,1,6,6,3,16,10,2,3,6,3,27,4,1,2,4,6,67,9,0,0,2,5,2,2,2,1,3,3,2,0,1,28
308,7,4,1,0,0,0,2,18,3,2,1,2,5,25,3,1,1,1,0,16,6,2,2,0,2,2,1,0,2,1,2,1,2,1,15
309,8,6,1,3,1,4,1,17,2,2,0,1,0,18,15,0,0,1,0,2,0,0,0,0,0,3,2,3,2,3,2,0,0,1,2
310,16,4,1,3,0,3,0,6,3,2,0,2,0,6,11,0,0,0,0,42,0,1,0,0,0,1,0,1,2,0,0,1,1,0,39
311,3,6,1,3,3,2,4,36,1,0,3,6,6,33,17,0,0,4,1,36,9,1,2,2,0,1,3,1,2,1,0,2,2,1,38
312,11,4,0,3,0,1,2,6,3,2,3,4,1,3,0,1,0,0,5,33,2,0,0,0,0,1,0,1,1,3,0,1,1,2,31
313,12,11,0,0,1,1,1,22,5,2,3,1,0,7,9,2,1,2,0,33,4,0,1,0,0,2,0,1,1,1,1,2,1,1,31
314,5,4,2,0,0,5,0,2,3,2,0,0,0,5,5,0,0,0,0,47,6,0,0,1,0,0,0,1,2,1,0,0,1,2,44
315,10,3,1,1,3,8,3,17,5,2,0,3,0,57,9,1,1,2,0,21,7,0,1,0,0,1,0,3,2,0,2,2,0,0,17
316,16,4,1,0,1,8,1,5,9,2,0,1,0,3,7,1,0,1,0,2,1,1,1,0,0,2,0,0,1,0,3,1,2,0,2
317,2,1,0,3,0,3,0,18,5,2,0,2,0,5,0,0,2,1,0,53,0,0,0,0,0,3,2,1,3,3,1,0,0,1,46
318,7,1,0,2,0,1,2,15,4,0,2,4,0,10,15,0,0,0,0,29,4,1,0,0,0,2,2,1,2,1,1,1,2,2,9
319,10,3,2,1,3,7,3,11,0,0,2,3,2,41,1,0,0,2,0,43,2,1,1,0,0,3,3,3,3,3,3,0,0,1,37
320,1,0,1,1,0,1,0,27,5,0,0,2,7,45,11,1,0,0,3,53,4,2,0,0,1,1,3,0,3,0,2,2,2,2,46
321,16,4,1,1,1,1,1,6,2,0,0,1,0,2,1,2,0,1,0,10,0,2,0,0,1,2,2,1,0,1,2,1,1,1,12
322,4,10,2,1,0,3,2,24,4,0,3,0,0,1,0,1,0,0,0,33,0,1,0,0,0,1,0,1,0,3,0,1,2,2,31
323,8,6,1,3,3,8,3,1,2,0,2,3,0,25,15,0,0,2,0,33,1,0,1,0,0,1,1,0,0,3,2,1,2,1,31
324,7,0,0,1,1,5,1,19,8,1,1,1,0,25,15,3,2,2,0,29,6,2,1,0,0,0,0,3,3,3,1,0,0,1,9
325,1,2,0,1,2,7,4,5,5,2,3,2,5,5,15,1,2,1,0,37,12,0,1,0,0,0,3,2,2,2,1,0,0,2,29
326,1,0,0,2,1,4,1,0,2,2,0,1,0,10,15,0,0,1,0,16,0,0,0,0,0,1,2,2,1,3,3,1,0,1,15
327,9,6,1,1,3,2,4,0,3,2,0,3,1,25,1,0,2,2,0,22,4,2,1,0,0,2,1,0,3,0,1,1,1,0,21
328,11,5,1,1,2,8,4,17,2,2,3,2,0,20,7,2,2,1,0,54,1,0,1,0,0,2,1,1,3,3,0,1,1,0,47
329,16,1,1,3,0,5,2,0,2,2,3,1,7,17,0,1,1,1,0,3,2,0,1,0,0,1,3,2,2,3,3,0,0,1,12
330,7,0,3,1,3,2,1,8,0,0,0,3,2,15,4,0,1,2,0,54,1,2,2,0,0,2,2,1,0,0,0,1,2,2,47
331,8,6,2,1,2,4,1,15,3,2,0,1,0,18,7,1,0,1,0,21,2,0,1,0,0,0,1,1,1,3,2,0,2,1,47
332,8,5,1,1,1,5,2,4,0,0,0,2,0,41,1,1,2,1,0,13,0,0,1,0,0,0,0,2,1,3,3,0,0,2,17
